timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
0,0.13,0.09,0.06,1023406080,1019473920,694038528,13224161280,708280320,15210041344,16588922880,1.1,1544.8000000000002,3878.4,1.4,0.0002000000000009,0.0,42393.600000000006,0.0,1.8,0.0024999999999977,0.1029999999999745,0.2684999999999718,2
30,0.08,0.08,0.06,1023406080,1019473920,709005312,13224284160,708280320,15225180160,16588922880,2.15,1051.95,2521.8500000000004,1.35,0.0006,0.0,49152.0,0.0,3.2,0.0035000000000025,0.0480000000000245,0.0520000000000436,2
60,0.05,0.07,0.06,1023406080,1019473920,705110016,13224349696,708280320,15221358592,16588922880,0.9,878.8000000000001,2194.2000000000003,0.0,0.0001999999999995,0.0,17408.0,0.0,1.4500000000000002,0.0024999999999991,0.0289999999999736,0.03400000000006,2
90,0.1,0.08,0.06,1023406080,1019473920,703356928,13224382464,708280320,15219642368,16588922880,0.8500000000000001,898.8000000000001,2243.85,1.4,0.0004000000000004,0.0,14745.6,0.0,1.0,0.0030000000000001,0.0264999999999645,0.0365000000000463,2
120,0.06,0.07,0.06,1023406080,1019473920,703819776,13224382464,708280320,15220109312,16588922880,0.8500000000000001,859.4000000000001,2149.1,0.0,0.0001999999999995,0.0,9625.6,0.0,0.6000000000000001,0.0019999999999996,0.0209999999999809,0.0294999999998935,2
150,0.09,0.08,0.06,1023406080,1019473920,713428992,13226131456,708321280,15231561728,16588922880,8.05,1162.0,2883.05,1.6,0.000399999999999,0.0,108134.4,0.0,3.1500000000000004,0.0025000000000019,0.0705000000000154,0.0734999999999899,2
180,0.19,0.1,0.07,1023406080,1019473920,687931392,13227012096,708321280,15206932480,16588922880,1.1,1536.5500000000002,3898.55,0.0,0.0002000000000009,0.0,70860.8,0.0,3.95,0.0034999999999982,0.104000000000019,0.3049999999999272,2
210,0.11,0.09,0.06,1023406080,1019473920,701038592,13227147264,708321280,15220207616,16588922880,2.5,1080.4,2638.9500000000003,0.0,0.000399999999999,0.0,28467.2,0.0,2.2,0.0030000000000001,0.0455000000000382,0.0470000000000709,2
240,0.24,0.13,0.08,1023406080,1019473920,696139776,13227237376,708321280,15215411200,16588922880,0.9,923.55,2266.3,0.15,0.0002000000000009,0.0,16384.0,0.0,0.8,0.0029999999999972,0.0219999999999345,0.0315000000000282,2
270,0.14,0.12,0.08,1023406080,1019473920,696901632,13227343872,708321280,15216271360,16588922880,1.15,1083.75,2651.7000000000003,1.4,0.0006,0.0,16998.4,0.0,1.05,0.0025000000000005,0.0294999999999618,0.0320000000000163,2
300,0.15,0.12,0.08,1023406080,1019473920,694599680,13227384832,708321280,15214010368,16588922880,0.95,1067.95,2678.8500000000004,1.35,0.0004000000000004,0.0,15360.0,0.0,1.55,0.0024999999999977,0.0319999999999936,0.0400000000000318,2
330,0.38,0.17,0.1,1023406080,1019473920,649625600,13228167168,708325376,15169830912,16588922880,23.5,2595.9,3576.3500000000004,0.05,0.0007999999999995,0.0,317030.4,0.0,36.0,0.0050000000000011,0.2184999999999945,0.10450000000003,2
360,1.08,0.36,0.16,1023406080,1019473920,657383424,13228666880,708325376,15178121216,16588922880,12.85,1915.6,3803.5,0.0,0.0012,0.0,230809.6,0.0,37.05,0.0045000000000044,0.0970000000000709,0.0545000000000754,2
390,0.65,0.33,0.16,1023406080,1019473920,672923648,13228728320,708329472,15193714688,16588922880,3.3000000000000003,1088.95,2693.65,0.0,0.0024,0.0,107110.4,0.0,20.700000000000003,0.0045000000000015,0.0384999999999536,0.0555000000000973,2
420,0.61,0.35,0.17,1023406080,1019473920,681877504,13231456256,708395008,15205478400,16588922880,3.25,1509.4,4083.3,1.35,0.0002000000000009,0.0,60006.4,0.0,2.3000000000000003,0.0030000000000001,0.1149999999999863,0.2604999999999108,2
