timestamp,load-1m,load-5m,load-15m,sys-mem-swap-total,sys-mem-swap-free,sys-mem-free,sys-mem-cache,sys-mem-buffered,sys-mem-available,sys-mem-total,sys-fork-rate,sys-interrupt-rate,sys-context-switch-rate,sys-thermal,disk-io-time,disk-bytes-read,disk-bytes-written,disk-io-read,disk-io-write,cpu-iowait,cpu-system,cpu-user,server-up
630,0.0,0.01,0.0,16952324096,16926896128,542363648,5063217152,870838272,6788141056,8080035840,0.95,968.45,1886.15,1.75,0.0019999999999527,0.0,22323.2,0.0,2.1,0.00450000000003,0.0090000000000145,0.0120000000002619,2
660,0.0,0.01,0.0,16952324096,16926896128,541618176,5063254016,870838272,6787428352,8080035840,1.05,1012.7,1973.1,1.6,0.0024000000000341,0.0,17408.0,0.0,1.6,0.0010000000000218,0.0114999999999781,0.0155000000000654,2
690,0.0,0.0,0.0,16952324096,16926896128,541663232,5063262208,870838272,6787485696,8080035840,1.05,999.95,1909.6,1.6,0.0019999999999527,0.0,13926.4,0.0,0.9,0.0020000000000209,0.0129999999999199,0.0125,2
720,0.0,0.0,0.0,16952324096,16926896128,542003200,5063270400,870842368,6787833856,8080035840,1.0,1003.3,2052.2000000000003,1.65,0.0018000000000029,0.0,9830.4,0.0,0.65,0.0014999999999872,0.0094999999999345,0.0140000000001236,2
750,0.0,0.0,0.0,16952324096,16926896128,542531584,5063282688,870846464,6788382720,8080035840,1.05,986.3,1847.75,3.2,0.0018000000000029,0.0,11264.0,0.0,0.7000000000000001,0.0019999999999981,0.0109999999999672,0.0159999999998035,2
780,0.0,0.0,0.0,16952324096,16926896128,542699520,5063294976,870850560,6788567040,8080035840,1.05,988.4,1850.35,1.65,0.0018000000000029,0.0,14950.4,0.0,1.4,0.0034999999999854,0.0099999999998544,0.0160000000003492,2
810,0.0,0.0,0.0,16952324096,16926896128,534163456,5063356416,870858752,6780100608,8080035840,1.0,1016.85,2077.7000000000003,1.75,0.0024000000000341,0.0,20889.6,0.0,2.0500000000000003,0.0020000000000209,0.01150000000016,0.0184999999997671,2
840,0.0,0.0,0.0,16952324096,16926896128,536633344,5063368704,870862848,6782586880,8080035840,1.2000000000000002,1015.3,1928.85,1.65,0.0018000000000029,0.0,20684.800000000003,0.0,2.0,0.0040000000000418,0.0144999999999527,0.0140000000001236,2
870,0.0,0.0,0.0,16952324096,16926896128,534159360,5063380992,870862848,6780125184,8080035840,1.15,947.35,1691.95,1.7000000000000002,0.0015999999999621,0.0,10035.2,0.0,0.6000000000000001,0.0020000000000209,0.011999999999989,0.0104999999999563,2
900,0.0,0.0,0.0,16952324096,16926896128,532615168,5063393280,870866944,6778597376,8080035840,1.05,957.0,1793.3000000000002,0.0,0.0018000000000029,0.0,11673.6,0.0,0.8,0.0024999999999863,0.0119999999998981,0.0159999999999854,2
930,0.0,0.0,0.0,16952324096,16926896128,535052288,5063397376,870871040,6781042688,8080035840,1.1,977.75,1829.05,0.05,0.0018000000000029,0.0,13107.2,0.0,0.8,0.0025000000000318,0.0110000000000582,0.0124999999996362,2
960,0.0,0.0,0.0,16952324096,16926896128,534941696,5063413760,870871040,6780948480,8080035840,1.05,997.45,1983.2,1.7000000000000002,0.0018000000000029,0.0,15360.0,0.0,1.55,0.0015000000000327,0.0104999999999563,0.0144999999996798,2
990,0.0,0.0,0.0,16952324096,16926896128,534962176,5063778304,870883328,6781263872,8080035840,1.05,1017.35,2250.05,1.8,0.0020000000000436,0.0,22528.0,0.0,1.9,0.0024999999999408,0.0145000000000436,0.0194999999999708,2
1020,0.0,0.0,0.0,16952324096,16926896128,527986688,5065957376,870895616,6776537088,8080035840,1.0,1195.65,3592.4,3.1500000000000004,0.0020000000000436,0.0,39526.4,0.0,2.7,0.0030000000000427,0.0324999999999818,0.0809999999997671,2
1050,0.0,0.0,0.0,16952324096,16926896128,541417472,5066108928,870895616,6790135808,8080035840,1.8,1022.95,2167.5,0.1,0.0025999999999839,0.0,51814.4,0.0,3.4000000000000004,0.00300000000002,0.0165000000002692,0.0170000000001891,2
1080,0.0,0.0,0.0,16952324096,16926896128,538099712,5066129408,870899712,6786854912,8080035840,1.0,988.45,1952.1,0.05,0.0015999999999621,0.0,16384.0,0.0,1.0,0.0024999999999636,0.011999999999989,0.0145000000000436,2
1110,0.0,0.0,0.0,16952324096,16926896128,539561984,5066133504,870903808,6788325376,8080035840,1.0,981.95,1825.35,3.25,0.0015999999999621,0.0,11264.0,0.0,0.8,0.0014999999999872,0.0119999999998981,0.0109999999996944,2
