timestamp,value,is_anomaly
870,1937788580.881356,0
2640,1938175132.20339,0
4410,1938363270.5084746,0
6180,1938756555.9322033,0
7950,1939267236.881356,0
9720,1939626365.8305085,0
11490,1940017915.661017,0
13260,1940488677.9661016,0
15030,1940952914.440678,0
16800,1941207768.9491525,0
18570,1941560788.6101694,0
20340,1942154916.881356,0
22110,1942604574.3728814,0
23880,1943127959.8644068,0
25650,1943507638.2372882,0
27420,1943962363.661017,0
29190,1944283448.4067798,0
30960,1944672776.677966,0
32730,1945020103.5932202,0
34500,1946343597.559322,0
36270,1946760903.5932202,0
38040,1946783744.0,0
39810,1946783744.0,0
41580,1946783744.0,0
43350,1946783744.0,0
45120,1946783744.0,0
46890,1946783744.0,0
48660,1946783744.0,0
50430,1946783744.0,0
52200,1946783744.0,0
53970,1946783744.0,0
55740,1946783744.0,0
57510,1946783744.0,0
59280,1946783744.0,0
61050,1946783744.0,0
62820,1946783744.0,0
64590,1946783744.0,0
66360,1946826717.2881355,0
68130,1947504223.457627,0
69900,1948113347.2542372,0
71670,1948486291.5254238,0
73440,1949372554.8474576,0
75210,1949869767.5932202,0
76980,1950309150.3728814,0
78750,1950904805.9661016,0
80520,1951342106.0338984,0
82290,1951715813.9661016,0
84060,1952165263.1864407,0
85830,1952693924.881356,0
87600,1953012649.220339,0
89370,1953371986.440678,0
91140,1953750484.6101694,0
92910,1954236936.677966,0
94680,1954755948.4745762,0
96450,1955242400.542373,0
98220,1956139979.9322033,0
99990,1956913152.0,0
101760,1957294704.8135593,0
103530,1957678062.6440678,0
105300,1958271843.79661,0
107070,1958682207.457627,0
108840,1958829246.9152544,0
110610,1958834176.0,0
112380,1958834176.0,0
114150,1958834176.0,0
115920,1958834176.0,0
117690,1958834176.0,0
119460,1958834176.0,0
121230,1958834176.0,0
123000,1958834176.0,0
124770,1958834176.0,0
126540,1958834176.0,0
128310,1958834176.0,0
130080,1958834176.0,0
131850,1958834176.0,0
133620,1958834176.0,0
135390,1958834176.0,0
137160,1958834176.0,0
138930,1958834176.0,0
140700,1958834176.0,0
142470,1958834176.0,0
144240,1958834176.0,0
146010,1958834176.0,0
147780,1958834176.0,0
149550,1958834176.0,0
151320,1958834176.0,0
153090,1958834176.0,0
154860,1958834176.0,0
156630,1958834384.2711864,0
158400,1959159773.2881355,0
160170,1960040343.8644068,0
161940,1960291380.0677967,0
163710,1960722570.8474576,0
165480,1961171534.1016948,0
167250,1961531010.1694915,0
169020,1961888264.677966,0
170790,1962093203.5254238,0
172560,1962481073.8983052,0
174330,1962763142.5084746,0
176100,1963286736.2711864,0
177870,1963620039.5932202,0
179640,1963988124.20339,0
181410,1964546638.1016948,0
183180,1965361117.2881355,0
184950,1965728924.20339,0
186720,1966261681.8983052,0
188490,1966713491.5254238,0
190260,1967029855.457627,0
192030,1967327822.1016948,0
193800,1967783102.9152544,0
195570,1967940486.5084746,0
197340,1967943680.0,0
199110,1967943680.0,0
200880,1967943680.0,0
202650,1967943680.0,0
204420,1967943680.0,0
206190,1969555768.4067798,0
207960,1974781153.6271186,0
209730,1974883137.0847456,0
211500,1974890496.0,0
213270,1974890496.0,0
215040,1974890496.0,0
216810,1974890496.0,0
218580,1974890496.0,0
220350,1974890496.0,0
222120,1974890496.0,0
223890,1974890496.0,0
225660,1974892301.0169492,0
227430,1974898688.0,0
229200,1974898688.0,0
230970,1974898688.0,0
232740,1974898688.0,0
234510,1974898688.0,0
236280,1974898688.0,0
238050,1974898688.0,0
239820,1974901673.220339,0
241590,1974902784.0,0
243360,1974916529.8983052,0
245130,1975306066.440678,0
246900,1976302921.7627118,0
248670,1976905242.0338984,0
250440,1977291932.20339,0
252210,1977759639.8644068,0
253980,1978137721.4915254,0
255750,1978575507.5254238,0
257520,1979079315.5254238,0
259290,1979474544.8135593,0
261060,1979887824.2711864,0
262830,1980218211.79661,0
264600,1980655720.1355932,0
266370,1981187228.20339,0
268140,1981797948.7457628,0
269910,1982184916.6101694,0
271680,1982692681.7627118,0
273450,1983072707.2542372,0
275220,1983538471.0508475,0
276990,1983991113.7627118,0
278760,1984329901.559322,0
280530,1984812188.20339,0
282300,1985030109.2881355,0
284070,1985032192.0,0
285840,1985032192.0,0
287610,1985041078.2372882,0
289380,1985165277.2881355,0
291150,1985235395.2542372,0
292920,1985241088.0,0
294690,1985241088.0,0
296460,1985241088.0,0
298230,1985241088.0,0
300000,1985241088.0,0
301770,1985241088.0,0
303540,1985241088.0,0
305310,1985241088.0,0
307080,1985241088.0,0
308850,1985241088.0,0
310620,1985241088.0,0
312390,1985241088.0,0
314160,1985241088.0,0
315930,1985241088.0,0
317700,1985241088.0,0
319470,1985241088.0,0
321240,1985241088.0,0
323010,1985241088.0,0
324780,1985241088.0,0
326550,1985248585.7627118,0
328320,1985249280.0,0
330090,1985307595.9322033,0
331860,1985733857.6271186,0
333630,1986943288.4067798,0
335400,1987481947.118644,0
337170,1987860237.0169492,0
338940,1988454226.440678,0
340710,1988752887.322034,0
342480,1989097020.7457628,0
344250,1989529530.5762713,0
346020,1990058678.2372882,0
347790,1990386635.9322033,0
349560,1990686893.559322,0
351330,1991198477.0169492,0
353100,1991471659.3898306,0
354870,1991941588.6101694,0
356640,1992425124.881356,0
358410,1992928377.4915254,0
360180,1993514174.9152544,0
361950,1993940089.4915254,0
363720,1994365240.4067798,0
365490,1995009145.4915254,0
367260,1995334465.0847456,0
369030,1995393752.9491525,0
370800,1995395072.0,0
372570,1995395072.0,0
374340,1995496222.3728814,0
376110,1995602093.559322,0
377880,1995624448.0,0
379650,1995624448.0,0
381420,1995624448.0,0
383190,1995624448.0,0
384960,1995624448.0,0
386730,1995624448.0,0
388500,1995624448.0,0
390270,1995624448.0,0
392040,1995624448.0,0
393810,1995624448.0,0
395580,1995624448.0,0
397350,1995624448.0,0
399120,1995624448.0,0
400890,1995632154.0338984,0
402660,1995636736.0,0
404430,1995636736.0,0
406200,1995636736.0,0
407970,1995636736.0,0
409740,1995636736.0,0
411510,1995637152.542373,0
413280,1995640832.0,0
415050,1995640832.0,0
416820,1995699981.0169492,0
418590,1996243985.3559322,0
420360,1996954051.2542372,0
422130,1997297906.9830508,0
423900,1997740066.7118645,0
425670,1997986034.9830508,0
427440,1998300177.3559322,0
429210,1998633202.9830508,0
430980,1999101327.1864407,0
432750,1999292867.2542372,0
434520,1999544042.3050847,0
436290,1999797924.881356,0
438060,2000184267.9322033,0
439830,2000600740.881356,0
441600,2000894680.9491525,0
443370,2001153492.6101694,0
445140,2001478256.8135593,0
446910,2002006640.8135593,0
448680,2002372087.322034,0
450450,2002719344.8135593,0
452220,2003297366.779661,0
453990,2003862823.0508475,0
455760,2003926484.6101694,0
457530,2003927040.0,0
459300,2003927040.0,0
461070,2003927040.0,0
462840,2003945367.8644068,0
464610,2004279087.7288136,0
466380,2004886753.6271186,0
468150,2004941876.0677967,0
